Percentage served,Time in ms
0,1.604
1,1.604
2,1.604
3,1.604
4,1.604
5,1.643
6,1.643
7,1.643
8,1.643
9,1.643
10,1.643
11,1.643
12,1.643
13,1.643
14,1.643
15,1.667
16,1.667
17,1.667
18,1.667
19,1.667
20,1.667
21,1.667
22,1.667
23,1.667
24,1.667
25,1.683
26,1.683
27,1.683
28,1.683
29,1.683
30,1.683
31,1.683
32,1.683
33,1.683
34,1.683
35,1.684
36,1.684
37,1.684
38,1.684
39,1.684
40,1.684
41,1.684
42,1.684
43,1.684
44,1.684
45,1.763
46,1.763
47,1.763
48,1.763
49,1.763
50,1.763
51,1.763
52,1.763
53,1.763
54,1.763
55,1.771
56,1.771
57,1.771
58,1.771
59,1.771
60,1.771
61,1.771
62,1.771
63,1.771
64,1.771
65,2.555
66,2.555
67,2.555
68,2.555
69,2.555
70,2.555
71,2.555
72,2.555
73,2.555
74,2.555
75,3.013
76,3.013
77,3.013
78,3.013
79,3.013
80,3.013
81,3.013
82,3.013
83,3.013
84,3.013
85,3.487
86,3.487
87,3.487
88,3.487
89,3.487
90,3.487
91,3.487
92,3.487
93,3.487
94,3.487
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,3.487
