Percentage served,Time in ms
0,19.421
1,40.995
2,44.634
3,47.214
4,49.569
5,51.372
6,52.663
7,53.821
8,54.678
9,55.651
10,56.571
11,57.579
12,58.482
13,59.656
14,61.006
15,62.122
16,63.041
17,63.936
18,64.659
19,65.549
20,66.289
21,67.197
22,68.003
23,68.784
24,69.521
25,70.177
26,71.000
27,71.944
28,72.697
29,73.474
30,74.217
31,74.905
32,75.616
33,76.364
34,77.266
35,78.110
36,78.712
37,79.395
38,80.202
39,81.232
40,82.012
41,83.162
42,84.235
43,85.206
44,86.017
45,86.802
46,87.636
47,88.504
48,89.486
49,90.664
50,92.078
51,93.569
52,94.872
53,96.139
54,97.504
55,98.663
56,99.968
57,101.254
58,102.775
59,104.986
60,106.884
61,108.907
62,111.289
63,113.662
64,116.299
65,118.491
66,120.742
67,123.873
68,127.261
69,130.236
70,132.990
71,136.947
72,139.953
73,145.023
74,149.979
75,157.840
76,162.361
77,168.565
78,178.536
79,190.002
80,209.081
81,252.560
82,347.664
83,768.790
84,798.950
85,1020.839
86,1054.382
87,1441.194
88,1766.038
89,1811.865
90,1918.899
91,1973.998
92,3829.112
93,3867.071
94,9029.390
95,9067.286
96,9934.573
97,9969.709
98,9982.790
99,9993.654
100,10059.133
